airline_sentiment	airline	text
negative	US Airways	@USAirways you idiots kept an on time plane on the Tarmac for over an hour forcing us to not be there 10 minutes before.
negative	US Airways	@USAirways cust svc just let it slip that previous cust svc lied to me about supervisors &amp; corporate ph#. $200 to change a $130 tix? No thx.
neutral	US Airways	@USAirways following you now
neutral	US Airways	@USAirways sorry I didn't realize I wasn't following you
negative	US Airways	@USAirways please fix your reservations phone system.  The weather/backup could not possibly be bad for 10 days!  #goodgriefpeople
positive	US Airways	@USAirways I made it! Thanks for the help!
positive	US Airways	@USAirways - Huge props to Parizad at checkin in Sacramento for her help on Friday to get 3 of us home when other airlines were delayed
neutral	US Airways	"@USAirways is there an additional charge for a golf bag with clubs , shoes, and golf balls, if that's the only piece of luggage you check?"
negative	US Airways	@USAirways I have a flight voucher/confirmation code but there is no where for me to enter it on your checkout page while Flight Booking Problems. Pls help
negative	US Airways	@USAirways 1-2! Rock hit the plane! In a delay now! Never an easy day with US Airways! Ya never fail to let me down!
negative	US Airways	@USAirways just an FYI I'll be writing registered letters 2 your ceo and those down the line 4 the shameful treatment and reactions we got.
negative	US Airways	@USAirways you guys Cancelled Flightled two of my flights yesterday and I checked the bag to Huntsville and it went missing in Philly.
neutral	US Airways	"@USAirways if I apply for ur credit card, do you automatically get the companion certificate or do I have to wait for it?"
negative	US Airways	"@USAirways customer service failure aside, one would think you guys would care about inaccurate manifests. I'm sure TSA would."
negative	US Airways	@USAirways I find it funny that @PHLAirport responds but you don't. Your customer service is the worst. #wedontcarebecauseyoupaidalready
negative	US Airways	@USAirways I get some bs from a guy at the door says door closes 10 minutes before it backs out. Yet I know for a fact it was 5 people short
negative	US Airways	@USAirways our flight was rebooked with you and we want to change our seats or upgrade to 1st class. Can you help? Phones are down.
negative	US Airways	@USAirways I need to speak with a customer service agent today between 5-8pm  I had an unfortunate incident of discrimination today.
negative	US Airways	@USAirways @CLTDouglas slowest baggage claim ever
negative	US Airways	@USAirways Don't blame it on weather. Rep at counter cost me entire day - not weather.  Printed Boarding Pass too Late Flight. #TakeResponsibility
negative	US Airways	@USAirways too Late Flight.
negative	US Airways	@USAirways delays due to refueling are out of your control? If that's true I never want to fly US Airways again
positive	US Airways	@USAirways @AmericanAir shout out to Diane at EYW for helping get us home today instead of tomorrow (even if a little Late Flight!)
positive	US Airways	@USAirways made it! Just! Huge relief - thanks for your help!
negative	US Airways	@USAirways how about now getting us the rest of our bags please? We only received 2 of 5. Can you help with that?
negative	US Airways	@usairways im trying to get my dads wheelchair and no one is answering at Dulles.we have tried to call back on.multiple times
neutral	US Airways	"@USAirways It's 838. We boarded and we are waiting now to take off, hopefully."
positive	US Airways	"@USAirways - thanks, I hope so. Maybe you can put in a good word for me? ;-)"
negative	US Airways	@USAirways US 728/Feb 21. Arrive 7 hrs Late Flight; checked car seat missing. No replacement available. Has yet to arrive more than 24 hours Late Flightr.
negative	US Airways	@USAirways you guys lost my luggage
negative	US Airways	@USAirways US 728/Feb 21 Kim Y says: leaving on 15 minutes once paperwork is done. Wheels up ~ 1.5 hours Late Flightr.
negative	US Airways	@USAirways US 728/Feb 21 Hour 6 on plane when US Airways representative Kim Y enters deteriorating picture. Unhelpful with no assurances.
negative	US Airways	"@USAirways @marvinatorsb thnk you for response,all flights were full, couldn't get out until tmrw, had to Cancelled Flight and go w/other airline"
negative	US Airways	@USAirways US 728/Feb 21. Ground power shorts again for the third time. Weary German passenger deplanes. Makes me jealous. Auf wiedersehen!
neutral	US Airways	"@USAirways US 728. Refuel; we've sat for so long. Pilot announces where the truck is. ""Look, over there to the left!"" Actual announcement."
negative	US Airways	@USAirways thanks but the bags are only 10% of what went wrong. 22 hours from DCA to SAN when there were no weather issues is not acceptable
neutral	US Airways	@USAirways @AmericanAir trying to chg ticket for staff member leaving org before she can fly.We're a nonprofit-can't you make an exception?
negative	US Airways	@USAirways How can I speak to a human? Need 2 find bag delayed 2/21. Website and 800 # are telling me 2 different things! Got hung up on 2x
negative	US Airways	@USAirways US 728. One water run of the planet's smallest water bottles. Applaud you looking out for the environment.
negative	US Airways	"@USAirways US 728. Nope, not getting off. 3 hours in the plane. 4 pilot announcements. One water run of the planet's smallest water bottles."
neutral	US Airways	"@USAirways US 728 Wait, now a gate opened. Back we go. (Good, maybe we can get off.)"
negative	US Airways	"@USAirways US 728 Uh oh, no gate. Now truck will come to us."
negative	US Airways	"@USAirways US 728 returned to gate to get ""MEL"" sticker. Oh, look. We heard from pilot! No clue what an MEL sticker is. Anyone?"
negative	US Airways	@USAirways I spent an hour on the phone with them and got no where at all
negative	US Airways	"@USAirways US 728 then lost ground power three different times. Not only grounded endlessly; now without air, lights, entertainment."
negative	US Airways	"@USAirways US 728 pilot started the flight by announcing arrival into Gatwick, not Heathrow. Moments of concern for all aboard."
negative	US Airways	@USAirways US 728 stated their issues as: no one around to close said door. More strange. Now we're not hearing from pilot for long periods.
negative	US Airways	@USAirways Seat 8D on Flight 545 last night is the worst seat I've ever been in.  No leg room! #dividendsmember http://t.co/NUhpLNXRIq
negative	US Airways	@USAirways One of your workers was very rude with us. We can tell you in DM cuz it won't be any good publicity...
negative	US Airways	"@USAirways US 728 stated their issues as: plane not moving as cargo door open on plane. Umm, ok. A little strange."
negative	US Airways	@USAirways my flight is delayed so I missed my connecting flight. Stuck in Philadelphia over night and no hotel voucher? Thanks for nothing
neutral	US Airways	@USAirways US 728 stated their issues as: kept plane on ground to allow connecting passengers from other flight to board. Fine. Understand.
negative	US Airways	"@USAirways can I speak to a human with some compassion? I wrote an email to discuss my experience and received a generic ""sorry"" email back"
negative	US Airways	"@USAirways take a look at 1715. All F seats filled, so someone upgraded their friend instead of following rules."
negative	US Airways	@USAirways back in line at terminal because phone guy couldn't help.  One person in front of me 20 min wait again? http://t.co/HQHdAD7fvK
negative	US Airways	@USAirways So you understand why I'm resorting to Twitter: No help available at  gate while this occurred or by phone afterward.
negative	US Airways	@USAirways going to miss my connection due to another tarmac delay - on US5268 then 4050 - need a flight home today please!
negative	US Airways	"@USAirways, I'm expecting 400% reimbursement for the unprofessional decisions with US728 on 21 Feb. Check your very full complaint box."
negative	US Airways	"@USAirways what's the deal with flight 5268 from DCA to PHL? We boarded on time, left the gate a few mins Late Flight and are now sat on Tarmac?"
negative	US Airways	@USAirways stranding a student trying to get to Birmingham in CLT overnight w/o any help.  You can do better than that.  @av_duffy
negative	US Airways	"@usairways really need help asap, so please make it quick. Thx."
negative	US Airways	@USAirways well that is not going to help. I'vebeen on hold over 3 hrs &amp; my client wants his ff nbr in the record he's elite wAA
negative	US Airways	@usairways hi. You lost my father's wheelchair. Every time we call we just get voicemail. My dad needs it to go home. Please DM me.
negative	US Airways	"@USAirways 4 segments, 4/4 delayed. Gnv &gt; CTL . CTL &gt; JAN . JAN &gt; CTL . CTL &gt; GNV. My year off from flying with you guys was the way to go."
negative	US Airways	@USAirways is charging me $200 to NOT take my flight. Lol. That is the last time I fly with them.
negative	US Airways	@USAirways yes. It says bag is being delivered. The local number says Not Open. Asked main # for cust service got hung up on.
negative	US Airways	"@usairways Row 16, flight 634 today if you're looking for specifics! I can run to Home Depot for the WD40 you if you need."
negative	US Airways	@USAirways seriously buy some WD40 for A319 operating flight 634 from GEG to Phoenix. Every seat squeaks w every shift. Still on ground!
negative	US Airways	"@USAirways I would happily wait in the terminal near food, restrooms and non irritated passengers."
negative	US Airways	@USAirways why let passengers on board when there was an issue? Over an hour &amp; the pilot doesn't know when we'll leave.
negative	US Airways	@USAirways anyone there to help? Still on hold...
negative	US Airways	@USAirways oh yay! Now gate agents decide not to deal with upgrade list and just bump up whoever is closest.
negative	US Airways	@USAirways site shows on-time but FlightAware site shows delayed. Trying to decide if I get out in this ice to catch FLT 456 to PHX.
negative	US Airways	@USAirways is the absolute worst airline. 13 women were inconvenienced due to maintenance issues. Stuck all over- no care given.
negative	US Airways	"@USAirways flights &amp; ""customer relations"" are extremely disappointing. Faced too many problems to type. apology=$25 towards a flight. A JOKE"
negative	US Airways	@USAirways sitting here in PHL with all of your rude Customer Service Agents!
negative	US Airways	@USAirways @AmericanAir - Can flight #415 get the paperwork inputted?? We should have taken off an hour .. #sittingontheplane #hungry
negative	US Airways	@USAirways now on hold with customer care.  Wonder if someone will pick up the phone before 5pm.
negative	US Airways	@USAirways when will FLT 445 get a gate at DEN? Over 20 minutes waiting with no information.
negative	US Airways	@USAirways lots of fun to be removed from top of a list and manually readded to the bottom thanks to club agents. Thanks a lot Asha at DCA.
negative	US Airways	@USAirways your delayed flight out of Wilmington made me miss my flight out of Charlotte. Figure out how to take off and arrive on time.
positive	US Airways	@USAirways Wow unbelievable how you treat your customers at Puerto Rico airport! 👍
negative	US Airways	"@USAirways usually ""sorry"" doesn't involve moving people to middle seats and removing them from upgrade lists. Guess that's a club perk."
negative	US Airways	@USAirways don't worry. Used own initiative and arriving much earlier than you planned for me
negative	US Airways	@USAirways nice try at the gate making traveler after traveler put bags in the size guide because you oversold.  Sorry #minefits
negative	US Airways	"@USAirways horrible service, wrong plane arrived, many confirmed passengers could not get on flight we paid for due to lack of seats flight"
neutral	US Airways	@USAirways trying to book award travel leaving on red-eye Sunday night after midnight. Should I book the date in Sunday or Monday?
negative	US Airways	"@USAirways booked flight 1mnth ago, seat CONFIRMED, small plane arrived and was not allowed to board bcs no seat, horrible service"
negative	US Airways	"@USAirways Very frustrated, checked bag in Logan, was not given a luggage ticket,now luggage is lost &amp; no ownership from @USAirways"
positive	US Airways	@USAirways They were breathing very heavily. but were super helpful. Thank you.
negative	US Airways	"@USAirways Aye, and nothing to do with an automated system which doesn't work properly. Anyway, got through to somebody..."
positive	US Airways	"@USAirways okay, great. Thank you!"
negative	US Airways	@USAirways now my rebooked connection is delayed.
negative	US Airways	@USAirways I am in meetings in California and have no luggage!!
negative	US Airways	@USAirways And the number your agent gave me to call says you are not open? And the main number goes to a computer saying it is delivered?
negative	US Airways	@USAirways any way to get your call center to answer for a OneWorld award? Whenever try system says too busy and disconnect or endless hold
negative	US Airways	@USAirways Why did you put my luggage on the plane after mine? Then not deliver it to me like you said? Now show the claim as closed online?
negative	US Airways	@USAirways takes my money at once but then requires 7 to 10 days to process a refund? Why does your auto attendant hang up? #usairwaysfail
negative	US Airways	@USAirways how long for a reply
neutral	US Airways	@USAirways Bag policy says stroller OR car seat.  We need to bring 2 car seats and 1 stroller.  Should I just call for details?
positive	US Airways	@USAirways it was customer service like I have never seen before!  Kudos to your organization.
negative	US Airways	@USAirways Who intentionally buys a flight with a 10 hour layover?  And what kind of airline would charge $200 to fix it? Wow... #usairways
negative	US Airways	@USAirways how do I get a hold of customer service? I've called multiple times &amp; have been on hold for 30+ mins only to have to hang up
negative	US Airways	@USAirways is there a # or a time bracket I can call to fix this problem?I've been attempting to fix this contact information issue for days
negative	US Airways	@USAirways I called the number and they said no one is available to take my call...guys this is insane
negative	US Airways	.@USAirways Can't book a flight online or over the phone. Your customer service is usually great -- anything you can do to help?
negative	US Airways	"@USAirways / @AmericanAir was the worst experience I've ever had flying. Rude, delays, Cancelled Flightlations, lack of updates, and wasting our time"
neutral	US Airways	"@USAirways contact via FB messages, Twitter DM or text?"
negative	US Airways	@USAirways called 3x &amp; it says high call volumes call back. At $1 a minute for international calls is there any way someone can contact me?
negative	US Airways	@USAirways @jhughes1025 grrrrrrrr. Couldn't book a flight via calling either :(
negative	US Airways	"@USAirways delayed, connection missed, now extended layover how about a lounge pass for PHL. #5077"
negative	US Airways	"@USAirways Another twist in the plot. Took off from Miami, then had to return due to a unsecured cargo door. most stressful vacation ever."
negative	US Airways	@USAirways she will be reaching out to you! HARDWORKING mom just trying to do her best!
neutral	US Airways	"@USAirways great operation you guys are running. More mechanical issues, and now taping piece of plane together LOL http://t.co/I5V9wfbtuE"
neutral	US Airways	@USAirways thanks! Any idea when it will be resolved? I'd like to purchase my ticket!
neutral	US Airways	"@USAirways Hi, can you attach my AA FF# 94LXA62 to reservation E2KVM4. Thansk!"
negative	US Airways	@USAirways When I check online it states status closed. What does this mean? As I have yet been able to reach a live person...
negative	US Airways	@USAirways Your system is affected by the weather?
positive	US Airways	@USAirways we called and were able to get rescheduled. Thank you for the quick responses today!!
negative	US Airways	@USAirways how do you get your aa frequent flyer number to appear in a USAir reservation?? Frustrating
negative	US Airways	@USAirways I'm unable to check in for flight 2119 BOS-DCA and haven't heard if flight was Cancelled Flighted/rescheduled. Any updates??
negative	US Airways	@USAirways / @AmericanAir don't forget without your customers you would be out of business! #epicfail #usairwaysfail
neutral	US Airways	@USAirways Hi guys! Are flights 5594 and 3937 still on time? The site and app are both down and I can't check. Thanks!
negative	US Airways	@USAirways @AmericanAir hey since you    f*%#ed my wknd can I have day pass to admirals club or meal coupon or free coke? {blank stare}
negative	US Airways	@USAirways : You Make the Reservation; We'll Make the Excuses! #usairwaysfail
negative	US Airways	"@USAirways I listed my baggage claim number.  Have them call me, my number is on the ticket.  I had to use Lady Speed Stick this morning."
negative	US Airways	@USAirways Another dead end.  They only handle AA L&amp;F.  They gave me the same failed # I already had. 610-362-7498(99) VM full.  #lost
negative	US Airways	@USAirways  Houston Gate 17 customer Service needs to treat people with respect. There are hardly people waiting! #chillpill #usairwaysfail
positive	US Airways	@USAirways over the phone. I called the 6170 number and she picked up almost immediately.
neutral	US Airways	"@USAirways @HutchinsJim Yes, I made the flight and got my workout in too."
positive	US Airways	@USAirways 603 &amp; 2705 DFW to PSP thank you!
positive	US Airways	@USAirways 1899. Thanks
negative	US Airways	@USAirways what's going on with your website &amp; mobile app??? Help!!!
negative	US Airways	@USAirways We have submitted the customer relations form and await your response!
negative	US Airways	"@USAirways That is the height of rudeness, and without question the worst customer service I have ever experienced."
negative	US Airways	@USAirways I NEED TO *SPEAK* TO SOMEBODY ABOUT A RESERVATION. As in talk to a human being. Yet your computer system puts the phone down on
neutral	US Airways	@USAirways Will you pick up your phone then?
negative	US Airways	@USAirways : Premier provider of missed connections! #usairwaysfail
negative	US Airways	"@USAirways I'm sure the people are working very hard, but the systems should assist with IVR prompting, offering call backs, hold wait times"
negative	US Airways	@USAirways thanks for a subpar travel experience and it's not even over yet #stepitup
positive	US Airways	@USAirways FYI your customer service rep Carol is an absolute delight. So pleasant to with with and rebooked me in lightning speed! Thanks!
negative	US Airways	"@USAirways is struggling. had me on hold for 25 minutes, kicked me back to the start, then said they couldnt handle the amount of calls"
negative	US Airways	@USAirways no you call me.
negative	US Airways	@USAirways they told me to call back Late Flightr
negative	US Airways	@USAirways i will be Cancelled Flighting my us airways credit card and choosing other airlines after my experience this week.
neutral	US Airways	"@USAirways thank you, but it says the website is down"
negative	US Airways	"@USAirways I cant make it to airport, roads are to bad in DFW and no one is answering the phones and the website is down?How do I reschedule"
negative	US Airways	@USAirways Pilot pleads to let boarding begin for full flight #1937 while waiting for 4th flight attendant. Denied by mission control. Grrrr
negative	US Airways	@USAirways website isnt working and I cant talk to any1 on the phone to check flight status out of dfw. Roads are awful and cant get there
negative	US Airways	@USAirways rebooked for Tuesday. Arriving too Late Flight for on Tuesday to start the class. Cancelled Flightled the trip.
negative	US Airways	@USAirways If my flight is going to be Cancelled Flightled every week I might as well be in business class.
negative	US Airways	@USAirways 2102 DCA-BOS. Cancelled Flightled after making us wait over an hour. If I fly USAir every week can you upgrade my status proactively?
positive	US Airways	@USAirways DOMINICK L. at La Guardia airport NYC gives the absolute best customer service! Thanku! Checking in made easy!
negative	US Airways	@USAirways congrats on treating your customers the worst way possible. I know plenty of other ppl who have had horrible experience w you too
negative	US Airways	"@USAirways Going to Manchester, UK now i'm going to miss a wedding. You going to rebook that too? Why have you chosen to Cancelled Flight my flight??"
negative	US Airways	@USAirways if you DM me we can take this offline. Would love more info on location of lost bags. Any help is appreciated.
negative	US Airways	"@USAirways thanx but this isn't my first rodeo. Done &amp; done yesterday. No results or comm, unless u count status: bags lost &amp; claim filed."
negative	US Airways	@USAirways @acnewsguy can you give me a # for US Air in philly to talk to a real person? Acarl4@hotmail.com
negative	US Airways	@USAirways would have been nice to be offered in flight credit. Especially since I'm staring at empty overhead room.
negative	US Airways	@USAirways or how about power outlets at your seat if you're gonna keep us siting here forever?
negative	US Airways	@USAirways I would appreciate a call regarding a HORRIBLE experience I had with a gate agent. Was on hold for 39 min and then hung on me.
neutral	US Airways	"@USAirways I understand that, and when I'm attempting to change the information so they are identical, it tells me to call a #"
negative	US Airways	@USAirways What is going on with flight 1826 from PHL to PHX? 10 mins to estimated departure nobody has board and no update.
negative	US Airways	@USAirways but my bag is still missing
negative	US Airways	@USAirways Seriously doubt that as I am still sitting inside at the gate.
negative	US Airways	"@USAirways Customer service is dead. Last wk, flts delayed/Cancelled Flighted. Bags lost 4 days. Last nt, flt delayed/Cancelled Flighted.  No meal voucher?"
negative	US Airways	"@USAirways flight US1562 from RIC2DFW was Cancelled Flightled yesterday &amp; I was on hold w/ cust. service from 6-10pm EST...4 hours, no answer..."
neutral	US Airways	"@USAirways @AmericanAir taking off now. if I don't have a private jet to bora bora by the time I land, I'm calling Oprah"
negative	US Airways	"@USAirways @AmericanAir call the number listed? sure! by next Friday, I should get a real live person on the line http://t.co/8TJUuM22dD"
negative	US Airways	@USAirways thanks for Cancelled Flighting flight 5097 today. Now missing required training. Not a happy customer.
negative	US Airways	@USAirways Strike Three!!! You guys suck!!!
negative	US Airways	"@USAirways 2 days in a row, not buying it. I suggest you review your policy w respect to unaccompanied minors, should have had a seat on Sun"
negative	US Airways	@USAirways @AmericanAir ok the app doesn't seem to be working. just use the mobile site... http://t.co/4kLfywwMq1
negative	US Airways	"@USAirways Wife and I flew to Italy recently. Bought tickets via Finnair, flights operated by USAir. Didn't get dividend miles credited."
negative	US Airways	"@USAirways 8 hour delay pho-mia, your airline is bad and getting worse, Foolish for american to merge.  You treat your customers like crap"
negative	US Airways	@USAirways @AmericanAir 28 hours Late Flightr still no email. work supervisor needs documentation to approve last minute vacation day request
negative	US Airways	@USAirways @AmericanAir 3 hours on hold got rebooked on a new flight yesterday. I asked for a new itinerary/confirmation email to be sent
negative	US Airways	@USAirways here's to sitting on hold for 4 hrs flight Cancelled Flighted and they disconnect twice. #fend4urself #stranded #diverted
negative	US Airways	"@USAirways Cancelled Flights flight Tampa to Philadelphia today due to runway conditions yet tonnes of USAirways flights landing there today, explain!"
negative	US Airways	@USAirways your phone system is not working at all I have been bumped again so now I am at 3 times I need to get out of mco
negative	US Airways	@USAirways no my flight plans have been delayed until tuesday due to your computer crash
negative	US Airways	@USAirways 4914 from PHL to BGM. I cannot believe this has happened 2x in under two weeks!
negative	US Airways	"@USAirways @AmericanAir ""ma'am the doors close 10 mins prior to departure"" ""but I was here 20 mins before?!?"" laughter from the 2 agents"
negative	US Airways	"@USAirways @AmericanAir at 9:05am after the plane left: ""why were there no agents and why were the doors closed so early?"""
negative	US Airways	@USAirways I called more than 25 times to redeem mile points and can't get through.  You advertise the miles but make them very hard to use!
negative	US Airways	"@USAirways @AmericanAir me after arriving at 8:41am for a flight scheduled to depart at 8:57am. doors closed, no agents"
negative	US Airways	@USAirways I need to speak with a live person. I've had it with the recordings. I was told on Sat that we'd have our luggage by yest.
positive	US Airways	@USAirways Thanks for the information!
neutral	US Airways	@USAirways @AmericanAir I need to move a reservation due to weather in the middle part of the U.S.  I would like to change departing airport
positive	US Airways	@USAirways couldn't be more thankful to your #orf and #dca crews on the ground and in the air today for help with a sick kid and a lost bag!
negative	US Airways	@USAirways thx for delayed checkin on noon flt to mia then forcing me to take Late Flightr flts which were delayed. Cincy to Miami in 13 hrs! #fast
negative	US Airways	@USAirways getting extremely frustrated w/ the phone/online service for merging frequent flyer miles.
negative	US Airways	@USAirways already spent 60 mins today handling this for my minor child. Shame on you for treating a 15 year old girl like this.
neutral	US Airways	@USAirways @AmericanAir can someone help me with some travel issues today?
negative	US Airways	"@USAirways First the pilot was Late Flight, now it's maintenance. This is EXACTLY what happened two weeks ago. Unacceptable."
neutral	US Airways	"@USAirways There is nothing on my USAir CC at this point, but the email stated I would be charged.  Thanks for the reply."
negative	US Airways	@USAirways I will NEVER fly us airways or american again and I will share this nightmare of a story to all the many others we know who fly
negative	US Airways	"@USAirways i have never been treated so poorly by an airline in my life, as a military family we do alot of flying.."
negative	US Airways	@USAirways @AmericanAir - Burned a lot of time and cell minutes working through this flight issue - hopefully we fly home in the morning.
negative	US Airways	@USAirways you would rather a while plane get exposed to a nasty contagious virus then work wth me to get my flight changed to a Late Flightr date
neutral	US Airways	@USAirways &amp; @AmericanAir what are your weight restrictions for carry on luggage? Can find measurements but not weight restrictions. TIA
negative	US Airways	@USAirways i worked with you and bought my own rental car when you failed to get me to the location i paid to get to and now....
negative	US Airways	@USAirways I've been on hold for 30 minutes and counting. #unacceptable
negative	US Airways	@USAirways Discovered our flight was Cancelled Flightled yesterday at 3:30PM - @americanairlnes finally notified us our flight was Cancelled Flighted at 0316 AM
negative	US Airways	@USAirways I am appalled. My departure with you was all messed up and now on return i am supposed to fly alone with two very sick kids
negative	US Airways	"@USAirways Will tweet all day until I get 
a live cust rep. I will make sure the world knows you don't care about your customers health."
positive	US Airways	@USAirways Thank you.
neutral	US Airways	@USAirways 4473.  She just called to say it's a runway clearing problem of all things.
negative	US Airways	@USAirways Decided to be a good sport and give you guys another shot. Flight delayed. Again.
negative	US Airways	@USAirways @AmericanAir on hold for 8 hours yesterday w/o speaking to an agent on hold again w/ 2 phones ~30 mins let the bashing begin...
neutral	US Airways	@USAirways will all flights out of DFW be Cancelled Flightled today?
neutral	US Airways	@USAirways can you add my KTN to an existing reservation?
negative	US Airways	@USAirways please fix the very unproductive check in process at @DCA. 20 check in stations and 2 people working them. What a total mess!!!!
negative	US Airways	@USAirways I will. Is it down or is just me?
neutral	US Airways	@USAirways I'm supposed to fly through Dallas. Can you help me get a new itinerary?
positive	US Airways	@USAirways Your CLT baggage crew deserves a #kudos. I had to run to make my connection. And my bags still made it! #CustomerService
positive	US Airways	@USAirways Thanks!
negative	US Airways	@USAirways you denied a mom her AM flight because she NEEDED her breast pumping parts on a full flight? Please FIX this ASAP!! #freeflight
negative	US Airways	"@USAirways: I relied on US Airways, and that was my mistake. Awful customer experience."
negative	US Airways	@USAirways Thank you. The website crashing for me.
negative	US Airways	"@USAirways. On hold 2hrs after my flight was Cancelled Flightled &amp; ""Anthony"" was beyond rude and not helpful! @AmericanAir they're weighing you down."
negative	US Airways	"@USAirways Will the nightmare ever end? Just found out our flight today is delayed due to ""ground handling delays affecting a prior flight."""
positive	US Airways	@USAirways is alright with me. Please give Scott F at BDL a bonus for excellent customer service
negative	US Airways	"@USAirways : When You've Got to Get There, We've Got Excuses! #usairwaysfail"
neutral	US Airways	"@USAirways I'm referring to email like this.  Just tell people when they GET the upgrade. Otherwise, we know already. http://t.co/N8UvCLMADA"
negative	US Airways	"@USAirways first, luggage got stuck in a different city, now I get them back today &amp; one of your employees stole a pair of gloves from me!"
neutral	US Airways	"@USAirways  I just reserved a flight with my companion certificate, where do I mail the certificate for verification???? THX!!!"
neutral	US Airways	"@USAirways Do your flight schedules to - from Quintana Roo, Mexico reflect their newly adopted time zone change to EST?"
negative	US Airways	@USAirways sure knows how to pamper customers they strand abroad. #badcustomerservice #fend4yourself #youareonyourown http://t.co/Pw1eudlcZg
neutral	US Airways	@USAirways : Maybe You Should Drive #usairwaysfail
negative	US Airways	@USAirways : We Suck -- And Pass the Savings on to Us! #usairwaysfail
neutral	US Airways	@USAirways thank you for the apology
negative	US Airways	@USAirways Can you help me with a refund.  the phone guy couldn't help.  The website won't let me submit a reply.
negative	US Airways	@USAirways We take Late Flight to a whole new level!
positive	US Airways	“@USAirways: @hegshmeg O” thank you for that elaborate response
negative	US Airways	@USAirways You guys are screwing up my trip. Thanks for nothing. #lazy
neutral	US Airways	@USAirways Is your refund system down?
negative	US Airways	@usairways Seriously. This is ridiculous. I shouldn't have to wait a hour for my luggage after I land. #wtf
neutral	US Airways	"That's not the case.. They sent me a email with a link, I'll show you.. @USAirways http://t.co/hb799CCo0t"
negative	US Airways	@usairways Why are we waiting 40 min so far for our luggage??? #wannagohome
negative	US Airways	@USAirways the only time I tweet is to tell you how horrible you're attendants are. Flight 3841 to LGA. I feel in jail
negative	US Airways	@USAirways hello??? Anyone there?
negative	US Airways	@USAirways forced sections 4 and 5 to check their carry on. would have packed differently to check my bag. Why even allow it? #pissed
negative	US Airways	"@USAirways Raleigh to Chicago and no #firstclass upgrade. Must be flying AA 'the screw USAir Elite, after we bailed them out' Airline"
negative	US Airways	"@USAirways flt 419. 2+ hrs Late Flight, baggage + 1 more hr. Now I see they delivered my suitcase wet inside &amp; out. #NotHappy"
negative	US Airways	@USAirways then she had to get her own hotel so ur agents did nothing to help and to top it off you sent her luggage on the wrong flight!!!
negative	US Airways	"@USAirways so she has to take a Late Flightr flight booked by her corporate (Disney) travel dept, as your agent offered little help"
negative	US Airways	@USAirways your computer system went down ok that is understandable but the agents make it worse by not helping her or anyone else
negative	US Airways	"@USAirways as the employee responsible for social media content, yes u probably do care however the actions from last night say otherwise"
negative	US Airways	@USAirways Flight gets in 30 minutes early and all goodwill gone when bags aren't here 45 minutes Late Flightr
negative	US Airways	"@USAirways. wow, awful customer service."
negative	US Airways	@USAirways merging with American will negatively affect your quality and integrity. I will no longer fly with you because of it.
negative	US Airways	@USAirways How many agents do you have working to handle the thousands of calls?
positive	US Airways	@USAirways YOU ARE THE BEST!!! YOU ARE AMAZING!!! FOLLOW ME PLEASE;)🙏🙏🙏
negative	US Airways	@USAirways flight 435 is delayed so will miss connecting flight 457 can you please help with alternate? Thank you.
neutral	US Airways	"@USAirways 4469, thank you for asking."
negative	US Airways	@USAirways three hour wait and counting waiting for reservations on the phone. Are you serious!?
positive	US Airways	@USAirways on a happy note our 719 crew is wonderful. Can't say enough great things about our pilot. He's doing all he can for us.
negative	US Airways	@USAirways What a mess caused by the computer systems. Flight 719 in 3 hours Late Flight and now no gate for us. Est 26 min wait.
negative	US Airways	"@USAirways Storm or no storm, your customer service is a joke. 6 hour wait time to speak to someone? I will never fly your airline again."
negative	US Airways	@USAirways you guys have my luggage in San Jose and were supposed to deliver it to my hotel hours ago!! Please contact me.
negative	US Airways	@USAirways I've flown 6 figured worth of miles in my lifetime.  This was my first and last ever flight on US Airways
negative	US Airways	@USAirways pls get me back to Tallahassee:( no one should ever have to be stranded in Gainesville for this long😒
negative	US Airways	@USAirways your a miserable airline and your loss of revenue is a reflection of that.  Go extinct.  A merger only delays the inevitable
negative	US Airways	@USAirways What was the point of the merger?  Why not just go out of business if your not turning a profit anymore?
negative	US Airways	@USAirways I love how just to give feedback to this link I have to fill out all my personal info on a form.  You guys are the best :)
negative	US Airways	@USAirways Finally got ahold of an Agent after another hour. Thanks for the follow up.  Recommend a call back feature.
negative	US Airways	@USAirways IS THIS RINGLING BROTHERS BARNUM AND BAILEY???  SHOULD I KEEP MY EYES PEELED FOR THE CLOWN CAR???
negative	US Airways	@USAirways not to mention the fact that my flight was delayed BECAUSE YOUR COMPUTERS WERE DOWN
negative	US Airways	@USAirways cannot add my frequent flyer number on your website.  Can you help?
negative	US Airways	@USAirways how do I get off my plane and wait over an hour and a half to speak to someone about reFlight Booking Problems?
negative	US Airways	"@USAirways Please don't trivialize me.  This is a joke, not a slow day or slow experience"
negative	US Airways	@USAirways And how do you only have 1 agent at PHX customer service desk when an hour ago the line was over 100 people long?
negative	US Airways	@USAirways sorry doesn't help.  It's midnight PST.  How in the hell am I still on hold after 90 minutes on customer service line?
negative	US Airways	@USAirways Like I thought this was America.  When did US Airways start operating under the rules of communist Russia?
negative	US Airways	@USAirways you guys should be nice and just give your routes to jet blue and southwest.  At least they treat their customers properly.
negative	US Airways	@USAirways But nope!  Apparently this is the way you guys do business!  I guess I'm flying southwest and her blue from now on.
